time,open,high,low,close,Plot,Plot,Plot,A组1,A组2,B组1,B组2,Volume
2024-01-22T18:00:00+09:00,40958.99,41047.51,40610,40744.85,41302.85793931095,41496.198395000174,42254.357587599334,41967.20451782552,42100.76716105432,42951.10917542744,42911.07016024846,1725.51154
2024-01-22T19:00:00+09:00,40744.86,40852.1,40364.63,40703.91,41245.81527842419,41465.12826186291,42238.93024841924,41949.779765855514,42084.333547394854,42943.31992351954,42904.54974618569,3247.98208
2024-01-22T20:00:00+09:00,40703.9,40941.09,40670.98,40815.99,41204.879537621884,41439.671859436916,42224.77163898223,41934.14128632647,42069.411858601976,42935.94616295275,42898.37970262236,1820.31952
2024-01-22T21:00:00+09:00,40815.92,40922.14,40685.96,40884.97,41174.41196261028,41417.91884534135,42211.440279390365,41919.66995823921,42055.47724850078,42928.83706013489,42892.43166805036,1281.48051
2024-01-22T22:00:00+09:00,40884.97,41244.06,40865.6,40943.17,41152.388918552155,41399.30124356326,42198.820674620314,41906.20099329798,42042.39128087136,42921.9543320235,42886.67314022747,2170.12828
2024-01-22T23:00:00+09:00,40943.17,40978.69,40515.9,40694.75,41108.80425964243,41371.67178303137,42183.85479726091,41889.491324424904,42026.53667756699,42914.23438633191,42880.19773951778,2673.37652
2024-01-23T00:00:00+09:00,40694.76,40850,40350,40771.99,41076.72671110505,41348.15485036348,42169.806391318016,41874.077513053526,42011.77730488973,42906.80892918691,42873.969651661006,3208.29236
2024-01-23T01:00:00+09:00,40772,40874.99,40400,40518.6,41023.5717862379,41315.623287604125,42153.37647697654,41855.38127149417,41994.2105130675,42898.53090863513,42867.01139567382,2429.98915
2024-01-23T02:00:00+09:00,40518.61,40806.42,40457.95,40708,40993.517330405724,41291.794923384354,42138.994621484235,41839.555322921835,41979.07862467847,42890.93808052895,42860.63322316075,1602.30202
2024-01-23T03:00:00+09:00,40707.99,40800.01,40119.11,40316.01,40928.992822748034,41253.52884795752,42120.85547102171,41818.540904674635,41959.51311144696,42882.012853213426,42853.11587242763,3457.46147
2024-01-23T04:00:00+09:00,40316,40570.83,39431.58,39820.31,40823.403982486314,41197.3241872533,42097.96447131005,41790.97909909292,41934.34601601817,42871.400364987385,42844.15632775281,7927.00782
2024-01-23T05:00:00+09:00,39820.31,40343.18,39751.14,40181.2,40762.24169844,41157.47617991004,42078.89218801343,41768.77524945026,41913.7207687709,42862.07558036005,42836.28939620849,3814.77652
2024-01-23T06:00:00+09:00,40181.2,40206.34,39845.7,39849.95,40675.356774779044,41106.20064344298,42056.71365877947,41742.30869428543,41889.441112667715,42851.63493710057,42827.46712325071,2123.7816
2024-01-23T07:00:00+09:00,39849.95,40088.88,39480,39832.8,40595.113272419134,41056.26336330796,42034.58516466226,41715.97064332977,41865.24533487162,42841.171037838525,42818.620248440515,2201.86927
2024-01-23T08:00:00+09:00,39832.81,39961.1,39488.12,39568.02,40497.294865522075,40997.900878472356,42010.04222770045,41686.34373790453,41838.21915446137,42829.825626962134,42809.01729349682,1840.27144
2024-01-23T09:00:00+09:00,39568.02,39888,39511.1,39872,40437.74297356759,40953.747902845986,41988.76817568353,41661.318307036876,41815.087164408884,42819.5731984458,42800.34072837571,1591.36214
2024-01-23T10:00:00+09:00,39872,39912.18,39713.2,39830.71,40379.9303094183,40909.70720077359,41967.294960005085,41636.06853728464,41791.74155070996,42809.21318735934,42791.56781632733,883.18985
2024-01-23T11:00:00+09:00,39830.7,40067.99,39810,40060.46,40349.504565664174,40876.40338897855,41948.32147781598,41614.33600573589,41771.373532466314,42799.68544667525,42783.499550991066,1017.58919
2024-01-23T12:00:00+09:00,40060.47,40118.87,39979.52,40000.44,40316.2603213152,40842.05188352841,41928.93957256408,41592.07537117401,41750.53902031965,42789.9826894944,42775.277809333784,954.67378
