Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
151,Entry Long,做多:127,2024-03-03 09:00,62018.8,0.001607,0.74,0.74,28.79,0.58,0.74,0.74,1.10,1.1
150,Exit Long,盈129,2024-03-03 21:00,62457.7,0.000004,0.002,0.71,28.05,0,0.002,0.71,0.003,1.1
150,Entry Long,做多:127,2024-03-03 09:00,62018.8,0.000004,0.002,0.71,28.05,0,0.002,0.71,0.003,1.1
149,Exit Long,盈129,2024-03-03 21:00,62457.7,0.001613,0.82,0.82,28.05,0.65,0.82,0.82,0.99,0.99
149,Entry Long,做多:126,2024-03-03 07:00,61948.9,0.001613,0.82,0.82,28.05,0.65,0.82,0.82,0.99,0.99
148,Exit Short,做多:126,2024-03-03 07:00,61948.9,0.001626,-0.88,-0.88,27.23,-0.69,1.58,1.58,3.80,3.81
148,Entry Short,做空:125,2024-02-29 10:00,61407.2,0.001626,-0.88,-0.88,27.23,-0.69,1.58,1.58,3.80,3.81
147,Exit Short,盈124,2024-02-26 01:00,51382.6,0.001932,0.68,0.68,28.11,0.53,0.68,0.68,0.12,0.12
147,Entry Short,做空:124,2024-02-25 17:00,51734.0,0.001932,0.68,0.68,28.11,0.53,0.68,0.68,0.12,0.12
146,Exit Long,盈123,2024-02-25 02:00,51645.7,0.001959,1.15,1.15,27.43,0.91,1.15,1.15,1.06,1.06
146,Entry Long,做多:123,2024-02-24 02:00,51059.9,0.001959,1.15,1.15,27.43,0.91,1.15,1.15,1.06,1.06
145,Exit Long,盈122,2024-02-25 02:00,51574.7,0.001959,0.99,0.99,26.28,0.79,0.99,0.99,1.08,1.08
145,Entry Long,做多:122,2024-02-23 23:00,51070.2,0.001959,0.99,0.99,26.28,0.79,0.99,0.99,1.08,1.08
144,Exit Long,盈121,2024-02-20 22:00,52598.8,0.001917,0.88,0.88,25.29,0.71,0.88,0.88,0,0
144,Entry Long,做多:121,2024-02-20 20:00,52139.0,0.001917,0.88,0.88,25.29,0.71,0.88,0.88,0,0
143,Exit Short,盈120,2024-02-20 01:00,51881.6,0.001909,0.92,0.92,24.41,0.74,0.92,0.92,0.25,0.25
143,Entry Short,做空:120,2024-02-19 21:00,52362.5,0.001909,0.92,0.92,24.41,0.74,0.92,0.92,0.25,0.25
142,Exit Short,盈118,2024-02-17 23:00,51007.2,0.001915,2.22,2.22,23.49,1.83,2.22,2.22,1.29,1.29
142,Entry Short,做空:119,2024-02-15 14:00,52166.8,0.001915,2.22,2.22,23.49,1.83,2.22,2.22,1.29,1.29
141,Exit Short,盈118,2024-02-17 23:00,51007.2,0.000009,0.01,1.74,21.27,0.01,0.01,1.74,0.01,1.79
141,Entry Short,做空:118,2024-02-15 11:00,51912.2,0.000009,0.01,1.74,21.27,0.01,0.01,1.74,0.01,1.79
140,Exit Short,盈119,2024-02-16 06:00,51461.8,0.001915,0.86,0.87,21.26,0.72,0.86,0.87,1.78,1.79
140,Entry Short,做空:118,2024-02-15 11:00,51912.2,0.001915,0.86,0.87,21.26,0.72,0.86,0.87,1.78,1.79
139,Exit Short,损117,2024-02-13 00:00,48953.2,0.0021,-2.84,-2.84,20.40,-2.31,1.56,1.56,2.84,2.84
139,Entry Short,做空:117,2024-02-10 04:00,47600.4,0.0021,-2.84,-2.84,20.40,-2.31,1.56,1.56,2.84,2.84
138,Exit Short,损114,2024-02-09 11:00,45970.8,0.002207,-1.46,-1.46,23.24,-1.17,0.22,0.22,1.46,1.46
138,Entry Short,做空:116,2024-02-09 07:00,45309.9,0.002207,-1.46,-1.46,23.24,-1.17,0.22,0.22,1.46,1.46
137,Exit Short,损114,2024-02-09 11:00,45970.8,0.000012,-0.01,-1.54,24.70,-0.01,0.001,0.13,0.01,1.54
137,Entry Short,做空:115,2024-02-09 05:00,45271.8,0.000012,-0.01,-1.54,24.70,-0.01,0.001,0.13,0.01,1.54
136,Exit Short,损116,2024-02-09 11:00,45968.4,0.002197,-1.53,-1.54,24.71,-1.21,0.13,0.13,1.53,1.54
136,Entry Short,做空:115,2024-02-09 05:00,45271.8,0.002197,-1.53,-1.54,24.71,-1.21,0.13,0.13,1.53,1.54
135,Exit Short,损116,2024-02-09 11:00,45968.4,0.00001,-0.01,-2.02,26.24,-0.01,0.002,0.37,0.01,2.02
135,Entry Short,做空:114,2024-02-09 02:00,45059.6,0.00001,-0.01,-2.02,26.24,-0.01,0.002,0.37,0.01,2.02
134,Exit Short,损115,2024-02-09 11:00,45913.3,0.002209,-1.89,-1.89,26.25,-1.47,0.37,0.37,1.89,1.89
134,Entry Short,做空:114,2024-02-09 02:00,45059.6,0.002209,-1.89,-1.89,26.25,-1.47,0.37,0.37,1.89,1.89
133,Exit Long,损112,2024-01-23 04:00,39818.8,0.002454,-2.16,-2.17,28.14,-1.66,0.24,0.24,2.16,2.17
133,Entry Long,做多:113,2024-01-23 03:00,40700.1,0.002454,-2.16,-2.17,28.14,-1.66,0.24,0.24,2.16,2.17
132,Exit Long,损113,2024-01-23 03:00,39919.8,0.000004,-0.003,-1.92,30.30,0,0.0004,0.24,0.003,1.92
132,Entry Long,做多:113,2024-01-23 03:00,40700.1,0.000004,-0.003,-1.92,30.30,0,0.0004,0.24,0.003,1.92
131,Exit Long,损113,2024-01-23 03:00,39919.8,0.002454,-2.07,-2.07,30.30,-1.56,0.26,0.26,2.07,2.07
131,Entry Long,做多:112,2024-01-23 01:00,40763.7,0.002454,-2.07,-2.07,30.30,-1.56,0.26,0.26,2.07,2.07
130,Exit Short,盈111,2024-01-22 10:00,41317.7,0.002401,0.87,0.87,32.37,0.66,0.87,0.87,0.44,0.44
130,Entry Short,做空:111,2024-01-21 09:00,41681.0,0.002401,0.87,0.87,32.37,0.66,0.87,0.87,0.44,0.44
129,Exit Short,盈110,2024-01-16 23:00,42260.9,0.002338,1.24,1.24,31.50,0.95,1.24,1.24,0.35,0.35
