time,open,high,low,close,Plot,Plot,Plot,A组1,A组2,B组1,B组2,Volume
2022-11-04,20207.12,21302.05,20180.96,21148.52,20136.95035890238,20040.829958896265,24941.347142987317,22719.863469364882,23720.353259967396,31185.209770711925,31045.33367470538,453694.39165
2022-11-05,21148.52,21480.65,21080.65,21299.37,20247.656991387867,20090.1844703121,24905.10856445013,22700.27045599433,23691.87110396778,31150.94342835244,31016.542053805217,245621.98525
2022-11-06,21299.37,21365.27,20886.13,20905.58,20310.316325541404,20122.160765593977,24865.312260326245,22675.516104877166,23659.091208626982,31115.430903470802,30986.672151135186,230036.97217
2022-11-07,20905.58,21069.77,20384.89,20591.13,20337.06048501365,20140.55171596284,24822.78308360658,22646.765951706446,23622.997547349016,31078.951524255997,30955.96153916728,386977.60337
2022-11-08,20590.67,20700.88,17166.83,18547.23,20166.600438821875,20078.068511415277,24760.339769341837,22590.220628234634,23563.282635027263,31035.51401463986,30919.30354348289,760705.362783
2022-11-09,18545.38,18587.76,15588,15922.81,19762.42992083884,19915.11719724213,24672.404149746395,22498.25634370726,23473.394721674,30983.130291885474,30875.000756057532,731926.929729
2022-11-10,15922.68,18199,15754.26,17601.15,19556.593737901807,19824.373385585575,24602.04341193797,22430.7100493113,23404.309489654308,30936.745611497656,30835.787016748647,608448.36432
2022-11-11,17602.45,17695,16361.6,17070.31,19319.804810482587,19716.370899876336,24527.100790923665,22356.773496907004,23329.79184859955,30888.68170989801,30795.120910347618,393552.86492
2022-11-12,17069.98,17119.1,16631.39,16812.08,19080.97387615091,19602.47713909687,24450.334414894573,22280.294965915182,23253.11288567485,30839.889329621066,30753.81207457111,167819.96035
2022-11-13,16813.16,16954.28,16229,16329.85,18818.962078422253,19474.138819916603,24369.533574945373,22198.21986293704,23171.662734078676,30789.59456591354,30711.200665192762,184960.78846
2022-11-14,16331.78,17190,15815.21,16619.46,18609.485690001085,19362.190630900266,24292.418414995667,22121.27145103446,23094.577996030694,30740.47798162961,30669.570707540788,380210.7775
2022-11-15,16617.72,17134.69,16527.72,16900.57,18446.731814762887,19265.65648851202,24218.867684498196,22049.26177584778,23021.70731372445,30692.50603022015,30628.89419141807,282461.84391
2022-11-16,16900.57,17015.92,16378.61,16662.76,18276.82973716642,19163.58211641351,24143.68253340866,21974.96519962919,22946.896168857103,30643.87606131124,30587.635301635444,261493.40809
2022-11-17,16661.61,16751,16410.74,16692.56,18125.94690505533,19066.67928831886,24069.542010688176,21902.104438254995,22873.315743341136,30595.51794671397,30546.586334717762,228038.97873
2022-11-18,16692.56,17011,16546.04,16700.45,17990.18529505006,18973.885982894593,23996.21771207436,21830.35748048596,22800.693793419476,30547.35479958498,30505.68194377325,214224.18184
2022-11-19,16699.43,16822.41,16553.53,16700.68,17867.375266950057,18884.74065023206,23923.625297028844,21759.603308341328,22728.9289252616,30499.359393000632,30464.89907244748,104963.15558
2022-11-20,16700.68,16753.33,16180,16280.23,17716.218574859577,18782.602977673938,23847.571612481293,21684.025745467654,22653.06187908205,30450.07298262628,30422.994584788845,154842.13478
2022-11-21,16279.5,16319,15476,15781.29,17531.939662968187,18664.904429529863,23767.31010389939,21602.60870070258,22572.217504034026,30399.227980953397,30379.739918364063,324096.997753
2022-11-22,15781.29,16315,15616.63,16226.94,17407.653980780742,18569.297981313004,23692.281545651633,21528.461546210132,22497.567180457154,30350.103932492555,30337.92957887111,239548.06623
2022-11-23,16227.96,16706,16160.2,16603.11,17331.03074451591,18492.19257028112,23621.74252529689,21460.52566281413,22428.22062539295,30302.45404017889,30297.354040971935,264927.70408
2022-11-24,16603.11,16812.63,16458.05,16598.95,17261.308768847728,18417.947763603428,23551.863992706873,21393.469446775314,22359.640970976565,30254.95489272593,30256.886082209832,206565.92346
2022-11-25,16599.55,16666,16342.81,16522.14,17190.91174324318,18343.602361109177,23481.91649029188,21326.27869578531,22290.964488965077,30207.354147863796,30216.31076143521,182089.49533
2022-11-26,16521.35,16701.99,16385,16458.57,17121.164910553354,18269.67952341862,23412.032445612356,21259.13788618827,22222.348083212546,30159.698050297546,30175.667509555045,181804.81666
2022-11-27,16457.61,16600,16401,16428.78,17055.223490500655,18197.487385245342,23342.547346651038,21192.51226017188,22154.188458704164,30112.103880279185,30135.056320457395,162025.47607
2022-11-28,16428.77,16487.04,15995.27,16212.91,16975.00315807202,18119.660821118072,23271.60568151023,21123.82809106606,22084.29106507235,30063.926431820677,30093.927380071997,252695.40367
2022-11-29,16212.18,16548.71,16100,16442.53,16924.291428731827,18053.890984995796,23203.65467970416,21059.25846222377,22017.917405483262,30016.71188612979,30053.598288845787,248106.25009
2022-11-30,16442.91,17249,16428.3,17163.64,16947.086530757366,18018.979181662628,23143.55503114989,21005.525793779303,21960.8082595364,29972.1605104413,30015.518648406065,303019.80719
2022-12-01,17165.53,17324,16855.01,16977.37,16949.970670685234,17978.131762773897,23082.199956213073,20949.965024209934,21902.17957413009,29927.117909018627,29977.001222561437,232818.18218
2022-12-02,16978,17105.73,16787.85,17092.74,16963.567749667593,17943.41051717492,23022.60333973334,20896.76192042773,21845.5979320815,29882.631330477834,29938.938412450472,202372.2062
2022-12-03,17092.13,17188.98,16858.74,16885.2,16956.104154461154,17901.912065521003,22961.534649785746,20841.430031870106,21787.240309351128,29837.57957543285,29900.374931172923,154542.57306
2022-12-04,16885.2,17202.84,16878.25,17105.7,16970.351377845807,17870.68806295155,22903.267638345093,20789.90272108569,21732.16336453523,29793.448277077798,29862.576777757346,178619.13387
2022-12-05,17106.65,17424.25,16867,16966.35,16969.970294241444,17835.223825188747,22844.193830998374,20737.16406286382,21676.094972011288,29748.98693123004,29824.47861888657,233703.29225
2022-12-06,16966.35,17107.01,16906.37,17088.96,16981.30264717083,17805.95857714213,22786.927822729733,20686.844006824318,21622.128678222918,29705.104688834093,29786.855225625455,218730.76883
2022-12-07,17088.96,17142.21,16678.83,16836.64,16967.52525220218,17767.94608392087,22727.72097872247,20633.737744661223,21565.828811420295,29660.499958543507,29748.59757355566,220657.41334
2022-12-08,16836.64,17299,16733.49,17224.1,16991.96094246864,17746.61878651221,22672.958580924238,20586.708258527964,21514.749648932997,29617.392852967965,29711.597580723886,236417.97804
2022-12-09,17224.1,17360,17058.21,17128.56,17004.970376519246,17722.38118704114,22617.790435840416,20539.009661858614,21463.14741776908,29574.104004257504,29674.424648432236,238422.06465
2022-12-10,17128.56,17227.72,17092,17127.49,17016.63891208884,17699.052120882665,22563.160580757427,20491.95421824677,21412.139683442383,29530.961494710686,29637.358371775124,140573.97937
2022-12-11,17127.49,17270.99,17071,17085.05,17023.154253794666,17674.973606338248,22508.652017764816,20444.962435926125,21361.23274599012,29487.821420205622,29600.276220012125,155286.47871
2022-12-12,17085.05,17241.89,16871.85,17209.83,17040.93289629041,17656.732680599493,22455.927420573127,20400.339919568523,21312.392713684356,29445.263391019467,29563.672242995843,226227.49694
2022-12-13,17208.93,18000,17080.14,17774.7,17110.815477596087,17661.358849987748,22409.34804325399,20364.124196539993,21270.772799405717,29404.810831605188,29528.845146266165,284462.9139
2022-12-14,17775.82,18387.95,17660.94,17803.15,17176.75209877741,17666.91928724313,22363.515226903204,20328.80041451875,21229.977237059768,29364.59710255283,29494.204983352527,266681.22209
2022-12-15,17804.01,17854.82,17275.51,17356.34,17193.855708417657,17654.739707351244,22313.69258782954,20287.80096052539,21184.40503427083,29322.974027673965,29458.34718428797,223701.96882
2022-12-16,17356.96,17531.73,16527.32,16632.12,17140.357069520738,17614.636973729626,22257.159527254124,20237.377774862973,21130.848739749996,29278.98493225742,29420.45581889864,253379.04116
2022-12-17,16631.5,16796.82,16579.85,16776.52,17105.705920042572,17581.769641426505,22202.62580061478,20189.64180555452,21079.62134281176,29235.6488319723,29383.102980438085,144825.66684
2022-12-18,16777.54,16863.26,16663.07,16738.21,17070.706308609944,17548.688871174483,22148.25350409125,20142.035849615837,21028.54591524927,29192.330153178635,29345.747314321576,112619.31646
2022-12-19,16739,16815.99,16256.3,16438.88,17010.532374456616,17505.166954657838,22091.443817483378,20090.957837896996,20974.5498456581,29148.1240867898,29307.617721073948,179094.28305
2022-12-20,16438.88,17061.27,16397.2,16895.56,16999.582624508366,17481.260799573218,22039.743480991005,20046.883384960485,20926.56172982683,29105.65419394131,29270.94989915054,248808.92324
2022-12-21,16896.15,16925,16723,16824.67,16982.924279317092,17455.512140766426,21987.852202573184,20002.439062409307,20878.304180064162,29063.085791189347,29234.180977735028,156810.96362
